elapsed_sec,input_signal_contract_passed,output_suggestion_contract_passed,safety_constraint_contract_passed,execution_block_contract_passed,readiness_dependency_contract_passed,future_controller_boundary_contract_passed,all_required_inputs_available,diagnostic_outputs_only,forbidden_outputs_disabled,status
0.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
0.653,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
0.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
1.053,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
1.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
1.454,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
1.654,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
1.854,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
2.054,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
2.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
2.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
2.655,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
2.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
3.053,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
3.257,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
3.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
3.654,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
3.854,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
4.054,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
4.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
4.455,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
4.653,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
4.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
5.053,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
5.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
5.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
5.653,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
5.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
6.054,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
6.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
6.454,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
6.656,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
6.857,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
7.055,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
7.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
